239.4000000000,4.9800000000,0.1077851335,4.8300000000,0.0983329601
250.6575000000,6.8300000000,0.2831918482,6.4500000000,0.2384802577
261.9150000000,8.1400000000,0.4878080307,7.5000000000,0.3815334665
273.1725000000,9.1600000000,0.7067640048,8.2600000000,0.5181889068
284.4300000000,10.0000000000,0.9341059495,8.8400000000,0.6452774155
295.6875000000,10.6900000000,1.1588317568,9.2900000000,0.7604083338
306.9450000000,11.2900000000,1.3850442037,9.6500000000,0.8648209047
318.2025000000,11.8100000000,1.6076131728,9.9500000000,0.9611549216
329.4600000000,12.2600000000,1.8230823605,10.1900000000,1.0464584948
340.7175000000,12.6600000000,2.0337193516,10.3900000000,1.1238186862
351.9750000000,13.0200000000,2.2398409636,10.5600000000,1.1946538932
363.2325000000,13.3400000000,2.4383738902,10.7000000000,1.2580050619
374.4900000000,13.6300000000,2.6312474280,10.8200000000,1.3160831576
385.7475000000,13.8900000000,2.8164223051,10.9300000000,1.3714775570
397.0050000000,14.1300000000,2.9971479547,11.0200000000,1.4208274570
408.2625000000,14.3400000000,3.1669047370,11.0900000000,1.4637909671
419.5200000000,14.5400000000,3.3349685047,11.1500000000,1.5032922874
430.7775000000,14.7200000000,3.4951643471,11.2100000000,1.5424383482
442.0350000000,14.8900000000,3.6522264221,11.2600000000,1.5779632824
453.2925000000,15.0400000000,3.7998296953,11.3000000000,1.6097809986
464.5500000000,15.1800000000,3.9430845082,11.3300000000,1.6378265108
475.8075000000,15.3100000000,4.0815690658,11.3600000000,1.6653652894
487.0650000000,15.4300000000,4.2148953132,11.3800000000,1.6890804147
498.3225000000,15.5500000000,4.3489132163,11.4000000000,1.7122831755
509.5800000000,15.6500000000,4.4709705342,11.4200000000,1.7349874588
520.8375000000,15.7500000000,4.5932570097,11.4300000000,1.7538511228
532.0950000000,15.8400000000,4.7092847374,11.4400000000,1.7722290563
543.3525000000,15.9200000000,4.8187992568,11.4500000000,1.7901371065
554.6100000000,16.0000000000,4.9281438415,11.4500000000,1.8042218536
565.8675000000,16.0700000000,5.0306603729,11.4600000000,1.8212320552
577.1250000000,16.1400000000,5.1328418171,11.4600000000,1.8344446007
588.3825000000,16.2000000000,5.2279305272,11.4600000000,1.8472438674
599.6400000000,16.2600000000,5.3225516255,11.4600000000,1.8596448703
610.8975000000,16.3200000000,5.4166975685,11.4600000000,1.8716619915
622.1550000000,16.3700000000,5.5034784244,11.4500000000,1.8799409094
633.4125000000,16.4200000000,5.5896853961,11.4500000000,1.8912329387
644.6700000000,16.4700000000,5.6753181095,11.4400000000,1.8988189222
655.9275000000,16.5100000000,5.7533766351,11.4400000000,1.9094380991
667.1850000000,16.5500000000,5.8307905169,11.4300000000,1.9163825797
678.4425000000,16.5900000000,5.9075650012,11.4200000000,1.9230266193
689.7000000000,16.6200000000,5.9766093408,11.4100000000,1.9293817013
700.9575000000,16.6600000000,6.0520911813,11.4000000000,1.9354587932
712.2150000000,16.6900000000,6.1197986404,11.4000000000,1.9446025984
723.4725000000,16.7200000000,6.1868370920,11.3900000000,1.9501490034
734.7300000000,16.7500000000,6.2532157456,11.3800000000,1.9554473203
745.9875000000,16.7700000000,6.3117205491,11.3700000000,1.9605067192
757.2450000000,16.8000000000,6.3767849016,11.3500000000,1.9620253812
768.5025000000,16.8200000000,6.4339531977,11.3400000000,1.9666391282
779.7600000000,16.8400000000,6.4904603304,11.3300000000,1.9710392660
791.0175000000,16.8600000000,6.5463178116,11.3200000000,1.9752334752
802.2750000000,16.8800000000,6.6015368932,11.3100000000,1.9792291119
813.5325000000,16.9000000000,6.6561285740,11.3000000000,1.9830332239
824.7900000000,16.9100000000,6.7027583334,11.2900000000,1.9866525651
836.0475000000,16.9300000000,6.7561133960,11.2700000000,1.9868297522
847.3050000000,16.9400000000,6.8015022541,11.2600000000,1.9901054884
858.5625000000,16.9600000000,6.8536650068,11.2500000000,1.9932151375
869.8200000000,16.9700000000,6.8978592468,11.2400000000,1.9961644058
881.0775000000,16.9800000000,6.9414678367,11.2300000000,1.9989587697
892.3350000000,16.9900000000,6.9845021694,11.2100000000,1.9983748709
903.5925000000,17.0000000000,7.0269733496,11.2000000000,2.0008819139
914.8500000000,17.0100000000,7.0688922034,11.1900000000,2.0032492243
926.1075000000,17.0200000000,7.1102692860,11.1800000000,2.0054814560
937.3650000000,17.0300000000,7.1511148906,11.1600000000,2.0043831172
948.6225000000,17.0300000000,7.1839881331,11.1500000000,2.0063653824
959.8800000000,17.0400000000,7.2237946215,11.1400000000,2.0082254755
971.1375000000,17.0500000000,7.2630995175,11.1300000000,2.0099673690
982.3950000000,17.0500000000,7.2944450447,11.1100000000,2.0084234909
993.6525000000,17.0600000000,7.3327698296,11.1000000000,2.0099472165
1004.9100000000,17.0600000000,7.3631452381,11.0900000000,2.0113637699
1016.1675000000,17.0700000000,7.4005271198,11.0800000000,2.0126765562
1027.4250000000,17.0700000000,7.4299703234,11.0600000000,2.0107457529
1038.6825000000,17.0700000000,7.4589596999,11.0500000000,2.0118675543
1049.9400000000,17.0800000000,7.4949917084,11.0400000000,2.0128950489
1061.1975000000,17.0800000000,7.5231025974,11.0300000000,2.0138311676
1072.4550000000,17.0800000000,7.5507860134,11.0100000000,2.0115635048
1083.7125000000,17.0800000000,7.5780504038,11.0000000000,2.0123319688
1094.9700000000,17.0800000000,7.6049040023,10.9900000000,2.0130172047
1106.2275000000,17.0800000000,7.6313548352,10.9800000000,2.0136217449
1117.4850000000,17.0900000000,7.6649059747,10.9700000000,2.0141480323
