Iteration Number, Current Time, Norm, Average Location of the Function
0,0.000000,1.000000,-0.013245
1,0.010000,1.000000,-0.003245
2,0.020000,1.000000,0.006755
3,0.030000,1.000000,0.016755
4,0.040000,1.000000,0.026755
5,0.050000,1.000000,0.036755
6,0.060000,1.000000,0.046755
7,0.070000,1.000000,0.056755
8,0.080000,1.000000,0.066755
9,0.090000,1.000000,0.076755
10,0.100000,1.000000,0.086755
11,0.110000,1.000000,0.096755
12,0.120000,1.000000,0.106755
13,0.130000,1.000000,0.116755
14,0.140000,1.000000,0.126755
15,0.150000,1.000000,0.136755
16,0.160000,1.000000,0.146755
17,0.170000,1.000000,0.156755
18,0.180000,1.000000,0.166755
19,0.190000,1.000000,0.176755
20,0.200000,1.000000,0.186755
21,0.210000,1.000000,0.196755
22,0.220000,1.000000,0.206755
23,0.230000,1.000000,0.216755
24,0.240000,1.000000,0.226755
25,0.250000,1.000000,0.236755
26,0.260000,1.000000,0.246755
27,0.270000,1.000000,0.256755
28,0.280000,1.000000,0.266755
29,0.290000,1.000000,0.276755
30,0.300000,1.000000,0.286755
31,0.310000,1.000000,0.296755
32,0.320000,1.000000,0.306755
33,0.330000,1.000000,0.316755
34,0.340000,1.000000,0.326755
35,0.350000,1.000000,0.336755
36,0.360000,1.000000,0.346755
37,0.370000,1.000000,0.356755
38,0.380000,0.999999,0.366754
39,0.390000,0.999993,0.376751
40,0.400000,0.999980,0.386743
41,0.410000,0.999947,0.396723
42,0.420000,0.999887,0.406689
43,0.430000,0.999775,0.416625
44,0.440000,0.999604,0.426529
45,0.450000,0.999334,0.436380
46,0.460000,0.998958,0.446177
47,0.470000,0.998428,0.455895
48,0.480000,0.997738,0.465535
49,0.490000,0.996838,0.475073
